MASCARA|NR_ANO|CD_CURSO_SEEC|CD_CURSO|CODMUNIC|EH_CAPITAL|NO_REGIAO|SG_UF_CURSO|NO_UF|NO_CURSO|NO_CURSO_HABILITACAO|AREACURSO|NO_AREA_CONHE|IN_LICENC_CURTA|IN_LICENC_PLENA|IN_BACHARELADO|IN_TECNOLOGO|IN_OUTRA_MODALIDADE|DT_INICIO|IN_FUNCIONAMENTO|IN_REGIME_MATRIC|IN_SIST_VESTIBULAR|QT_MAT_ANT_DIU_FEMI|QT_MAT_ANT_DIU_MASC|QT_MAT_ANT_NOT_FEMI|QT_MAT_ANT_NOT_MASC|QT_MAT_ATU_DIU_FEMI|QT_MAT_ATU_DIU_MASC|QT_MAT_ATU_NOT_FEMI|QT_MAT_ATU_NOT_MASC|QT_DIPLO_1SEM_FEMI|QT_DIPLO_1SEM_MASC|QT_DIPLO_2SEM_FEMI|QT_DIPLO_2SEM_MASC|QT_ALUNOS_TRANSF|QT_AFAST_1SEM_TRANCA|QT_AFAST_1SEM_ABANDONO|QT_AFAST_2SEM_TRANCA|QT_AFAST_2SEM_ABANDONO|QT_VAGAS_DIURNO|QT_INSC_1OPC_DIURNO|QT_INSC_2OPC_DIURNO|QT_APROVADOS_DIURNO|QT_INGR_VEST_FEMI_DIURNO|QT_INGR_VEST_MASC_DIURNO|QT_INGR_OUTROS_FEMI_DIURNO|QT_INGR_OUTROS_MASC_DIURNO|QT_VAGAS_NOTURNO|QT_INSC_1OPC_NOTURNO|QT_INSC_2OPC_NOTURNO|QT_APROVADOS_NOTURNO|QT_INGR_VEST_FEMI_NOTURNO|QT_INGR_VEST_MASC_NOTURNO|QT_INGR_OUTROS_FEMI_NOTURNO|QT_INGR_OUTROS_MASC_NOTURNO
1|1995|301|2020000||N|CENTRO-OESTE|GO|Goias|CIENCIA DA COMPUTACAO||481C01|CIENCIAS EXATAS E DA TERRA|0|0||0|0|21FEB1|1||2|15|16|0|0|23|36|0|0|0|0|0|0|0|0|0|0|10|30|88|0|30|11|19|0|0|0|0|0|0|0|0|0|0
2|1995|302|2066000||N|SUDESTE|MG|Minas Gerais|LETRAS||220L01|LINGUISTICA, LETRAS E ARTES||1||||14JAN1|1|1|2|0|0|147|13|0|0|146|12|0|0|36|3|0|3|10|1|8|0|0|0|0|0|0|0|0|60|58|0|58|42|4|1|0
2|1995|303|2050000||N|SUDESTE|MG|Minas Gerais|ESTUDOS SOCIAIS||312E03|CIENCIAS HUMANAS||1||||14JAN1|1|1|2|0|0|137|44|0|0|110|47|0|0|43|2|1|3|14|1|2|0|0|0|0|0|0|0|0|60|41|0|41|25|16|0|0
2|1995|301|2018000||N|SUDESTE|MG|Minas Gerais|CIENCIAS||420C01|CIENCIAS EXATAS E DA TERRA|1|||||14JAN1|1|2|2|0|0|131|35|0|0|121|30|0|0|34|9|1|0|2|2|3|0|0|0|0|0|0|0|0|60|50|0|50|36|4|1|0
3|1995|302|2021000||N|SUDESTE|RJ|Rio de Janeiro|CIENCIAS CONTABEIS||344C02|CIENCIAS SOCIAIS APLICADAS|0|0|1|0|0|30DEC1|1|1|2|0|0|117|123|0|0|132|111|0|0|17|14|1|4|2|5|0|0|0|0|0|0|0|0|0|50|160|139|50|29|21|0|0
3|1995|303|2022000||N|SUDESTE|RJ|Rio de Janeiro|CIENCIAS ECONOMICAS||314E02|CIENCIAS SOCIAIS APLICADAS|0|0|1|0|0|30DEC1|1|1|2|0|0|120|126|0|0|133|138|0|0|18|13|1|14|4|3|0|0|0|0|0|0|0|0|0|100|129|267|100|53|47|0|0
3|1995|301|2001000||N|SUDESTE|RJ|Rio de Janeiro|ADMINISTRACAO||345A01|CIENCIAS SOCIAIS APLICADAS|0|0|1|0|0|30DEC1|1|1|2|0|0|152|140|0|0|180|174|0|0|20|23|10|11|8|8|6|0|0|0|0|0|0|0|0|100|294|170|100|43|57|0|0
4|1995|303|2050000||N|SUDESTE|MG|Minas Gerais|ESTUDOS SOCIAIS||312E03|CIENCIAS HUMANAS||1||||29APR1|1|1|2|0|0|60|12|0|0|63|18|0|0|9|1|0|1|6|0|4|0|0|0|0|0|0|0|0|50|37|37|37|27|10|0|0
4|1995|301|2018000||N|SUDESTE|MG|Minas Gerais|CIENCIAS||420C01|CIENCIAS EXATAS E DA TERRA||1||||29APR1|1|1|2|0|0|134|42|0|0|49|125|0|0|21|10|0|6|13|0|9|0|0|0|0|0|0|0|0|80|60|0|60|41|19|0|0
4|1995|302|2066000||N|SUDESTE|MG|Minas Gerais|LETRAS||220L01|LINGUISTICA, LETRAS E ARTES||1||||29APR1|1|1|2|0|0|99|7|0|0|119|9|0|0|13|1|1|3|6|0|7|0|0|0|0|0|0|0|0|50|49|49|49|45|4|0|0
