MASCARA|NR_ANO|NO_DISTRITO|CODMUNIC|NO_MUNICIPIO|EH_CAPITAL|SG_UF|NO_UF|NO_REGIAO|IN_FUNCIONAMENTO|IN_DEP_ADM|IN_NATUREZA|QT_SERV_SEM_ESCOLARIDADE|QT_SERV_COM_1GRAU|QT_SERV_COM_2GRAU|QT_SERV_COM_SUPERIOR|QT_SERV_COM_ESPECIALIZACAO|QT_SERV_COM_MESTRADO|QT_SERV_COM_DOUTORADO|QT_TOTAL_SERVIDORES|QT_TOTAL_SERVIDORES_ESTAB|QT_DOCEN_FEMI_AFAST|QT_DOCEN_MASC_AFAST|QT_DOCEN_MASC_EXERC|QT_DOCEN_FEMI_EXERC|QT_DOCEN_AFAST_CURS_POS|QT_DOCEN_AFAST_OUTROS_MOT|QT_DOCEN_PARC_SEM_GRADU|QT_DOCEN_INT_SEM_GRADU|QT_DOCEN_PARC_GRADU|QT_DOCEN_INT_GRADU|QT_DOCEN_PARC_ESPEC|QT_DOCEN_INT_ESPEC|QT_DOCEN_PARC_MESTRADO|QT_DOCEN_INT_MESTRADO|QT_DOCEN_PARC_DOUTORADO|QT_DOCEN_INT_DOUTORADO
1|1995|MINEIROS|520501313103|MINEIROS|N|GO|Goias|CENTRO-OESTE|1|3|3|||0|0|0|0|0|10|0|0|0|9|3|0|0|0|0|7|3|0|0|0|2|0|0
2|1995|LUZ|310602638807|LUZ|N|MG|Minas Gerais|SUDESTE|1|4|4|0|0|0|0|0|0|0|17|0|0|0|15|19|0|0|0|0|6|0|27|0|1|0|0|0
3|1995|CAMPOS DOS GOYTACAZES|330200301009|CAMPOS DOS GOYTACAZES|N|RJ|Rio de Janeiro|SUDESTE|1|4|3|||0|0|0|0|0|55|0|0|0|41|14|0|0|25|0|27|0|0|0|3|0|0|0
4|1995|CURVELO|310602520904|CURVELO|N|MG|Minas Gerais|SUDESTE|1|4|4|0|0|0|0|0|0|0|16|0|0|0|20|22|0|0|0|0|14|0|27|0|1|0|0|0
5|1995|REDUTO|311206139409|MANHUACU|N|MG|Minas Gerais|SUDESTE|1|4|4|0|0|0|0|0|0|0|21|0|0|0|4|17|0|0|0|0|0|0|21|0|0|0|0|0
6|1995|LORENA|351305127207|LORENA|N|SP|Sao Paulo|SUDESTE|1|4|3|||0|0|0|0|0|18|0|2|0|37|53|0|2|0|0|40|0|27|0|18|0|5|0
7|1995|ANDRADINA|350301602101|ANDRADINA|N|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|2|0|1|0|12|3|0|1|0|0|8|0|6|0|1|0|0|0
8|1995|PORTO ALEGRE|430502614902|PORTO ALEGRE|S|RS|Rio Grando do Sul|SUL|1|1|1|1425|488|1034|648|34|21|2|0|3652|488|0|0|2275|110|378|0|0|322|0|416|0|811|0|726|0
9|1995|COLATINA|320100301506|COLATINA|N|ES|Espirito Santo|SUDESTE|1|4|4|0|0|0|0|0|0|0|15|0|4|1|14|35|0|5|0|0|0|12|0|35|0|2|0|0
10|1995|CURITIBA|411003706902|CURITIBA|S|PR|Parana|SUL|1|4|4|0|0|0|0|0|0|0|15|0|0|0|11|4|0|0|0|0|3|0|10|0|2|0|0|0
11|1995|SANTA RITA DO SAPUCAI|311005359605|SANTA RITA DO SAPUCAI|N|MG|Minas Gerais|SUDESTE|1|4|4|0|0|0|0|0|0|0|189|0|1|1|46|5|0|2|0|0|7|1|13|14|6|4|5|1
12|1995|AMPARO|350703301905|AMPARO|N|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|11|0|1|1|11|13|0|2|0|0|3|0|20|0|1|0|0|0
13|1995|MACEIO|270301104302|MACEIO|S|AL|Alagoas|NORDESTE|1|4|4|0|0|0|0|0|0|0|17|0|0|0|10|1|0|0|0|0|10|0|1|0|0|0|0|0
14|1995|BURARAMA|320401201209|CACHOEIRO DE ITAPEMIRIM|N|ES|Espirito Santo|SUDESTE|1|3|4|0|0|0|0|0|0|0|5|0|0|0|25|4|0|0|0|0|20|0|9|0|0|0|0|0
15|1995|PORANGATU|520200418003|PORANGATU|N|GO|Goias|CENTRO-OESTE|1|2|4|0|0|0|0|0|0|0|18|0|6|4|7|24|0|10|0|0|9|4|3|14|1|0|0|0
16|1995|ARACATUBA|350301702804|ARACATUBA|N|SP|Sao Paulo|SUDESTE|1|3|4|0|0|0|0|0|0|0|5|0|0|3|19|7|1|2|0|0|1|0|23|0|2|0|0|0
17|1995|SAO PAULO|351506150308|SAO PAULO|S|SP|Sao Paulo|SUDESTE|1|1|1|849|656|659|1002|41|36|11|0|3254|17|36|381|244|19|34|0|0|6|14|4|33|5|140|15|408
18|1995|SAO LUIS DE MONTES BELOS|520300920108|SAO LUIS DE MONTES BELOS|N|GO|Goias|CENTRO-OESTE|1|2|4|0|0|0|0|0|0|0|17|0|0|0|3|10|0|0|0|0|5|1|7|0|0|0|0|0
19|1995|RIO DE JANEIRO|330601804557|RIO DE JANEIRO|S|RJ|Rio de Janeiro|SUDESTE|1|4|4|0|0|0|0|0|0|0|277|0|0|0|69|6|0|0|0|0|36|0|21|0|17|0|1|0
20|1995|OLINDA|260501709600|OLINDA|N|PE|Pernambuco|NORDESTE|1|4|4|0|0|0|0|0|0|0|29|0|1|1|40|50|0|2|0|0|12|0|50|23|0|5|0|0
21|1995|ESPIRITO SANTO DO PINHAL|350703015186|ESPIRITO SANTO DO PINHAL|N|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|6|0|0|0|18|2|0|0|0|0|14|0|6|0|0|0|0|0
22|1995|JUNDIAI|351204725904|JUNDIAI|N|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|13|0|1|1|13|9|0|2|0|0|2|0|9|0|9|0|2|0
23|1995|UBERABA|310502270107|UBERABA|N|MG|Minas Gerais|SUDESTE|1|1|4|82|184|461|407|117|6|0|0|1257|10|10|78|30|19|1|0|0|1|0|5|37|5|23|0|37
24|1995|SAO PAULO|351506150308|SAO PAULO|S|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|3|0|6|0|4|11|0|6|0|0|6|0|5|0|3|0|1|0
25|1995|SAO CAETANO DO SUL|351506148807|SAO CAETANO DO SUL|N|SP|Sao Paulo|SUDESTE|1|4|4|0|0|0|0|0|0|0|187|0|1|11|187|15|0|12|0|0|78|5|30|2|39|11|29|8
26|1995|UBERLANDIA|310501870206|UBERLANDIA|N|MG|Minas Gerais|SUDESTE|1|4|3|||0|0|0|0|0|100|0|1|0|111|96|1|0|0|0|68|0|119|0|20|0|0|0
27|1995|RIO GRANDE|430703515602|RIO GRANDE|N|RS|Rio Grando do Sul|SUL|1|1|1|200|282|234|192|60|3|0|0|971|33|50|285|161|83|0|0|0|9|84|16|155|3|111|2|66
28|1995|DUQUE DE CAXIAS|330601801702|DUQUE DE CAXIAS|N|RJ|Rio de Janeiro|SUDESTE|1|4|4|0|0|0|0|0|0|0|128|0|1|1|42|26|0|2|0|0|0|0|60|0|8|0|0|0
29|1995|NOVA IGUACU|330601803500|NOVA IGUACU|N|RJ|Rio de Janeiro|SUDESTE|1|4|4|0|0|0|0|0|0|0|23|0|0|0|18|28|0|0|0|0|21|0|18|0|6|0|1|0
30|1995|URUACU|520200421601|URUACU|N|GO|Goias|CENTRO-OESTE|1|2|4|0|0|0|0|0|0|0|34|0|0|0|9|9|0|0|0|0|0|7|0|10|0|0|0|1
31|1995|JUIZ DE FORA|311206536702|JUIZ DE FORA|N|MG|Minas Gerais|SUDESTE|1|4|4|0|0|0|0|0|0|0|51|0|5|3|74|64|2|6|0|0|22|0|83|0|29|0|4|0
32|1995|GOIANIA|520301008707|GOIANIA|S|GO|Goias|CENTRO-OESTE|1|4|4|0|0|0|0|0|0|0|179|0|0|0|80|30|0|0|0|0|0|0|99|0|9|0|2|0
